,date,open,High,low,close,signal
16428,2018-07-03 09:15:00,26210.1,26313.9,26144.8,26235.85,Short
16429,2018-07-03 13:15:00,26237.25,26247.9,26171.0,26221.35,Short
16430,2018-07-03 17:15:00,,,,,Short
16431,2018-07-03 21:15:00,,,,,Short
16432,2018-07-04 01:15:00,,,,,Short
16433,2018-07-04 05:15:00,,,,,Short
16434,2018-07-04 09:15:00,26249.25,26260.2,26132.95,26222.4,Short
16435,2018-07-04 13:15:00,26219.4,26480.1,26214.25,26424.5,Short
16436,2018-07-04 17:15:00,,,,,Short
16437,2018-07-04 21:15:00,,,,,Short
16438,2018-07-05 01:15:00,,,,,Short
16439,2018-07-05 05:15:00,,,,,Short
16440,2018-07-05 09:15:00,26481.55,26580.45,26416.2,26577.65,Short
16441,2018-07-05 13:15:00,26579.3,26596.35,26482.15,26500.75,Short
16442,2018-07-05 17:15:00,,,,,Short
16443,2018-07-05 21:15:00,,,,,Short
16444,2018-07-06 01:15:00,,,,,Short
16445,2018-07-06 05:15:00,,,,,Short
16446,2018-07-06 09:15:00,26427.55,26609.3,26411.0,26548.7,Short
16447,2018-07-06 13:15:00,26548.95,26584.85,26473.7,26503.45,Short
16448,2018-07-06 17:15:00,,,,,Short
16449,2018-07-06 21:15:00,,,,,Short
16450,2018-07-07 01:15:00,,,,,Short
16451,2018-07-07 05:15:00,,,,,Short
16452,2018-07-07 09:15:00,,,,,Short
16453,2018-07-07 13:15:00,,,,,Short
16454,2018-07-07 17:15:00,,,,,Short
16455,2018-07-07 21:15:00,,,,,Short
16456,2018-07-08 01:15:00,,,,,Short
16457,2018-07-08 05:15:00,,,,,Short
16458,2018-07-08 09:15:00,,,,,Short
16459,2018-07-08 13:15:00,,,,,Short
16460,2018-07-08 17:15:00,,,,,Short
16461,2018-07-08 21:15:00,,,,,Short
16462,2018-07-09 01:15:00,,,,,Short
16463,2018-07-09 05:15:00,,,,,Short
16464,2018-07-09 09:15:00,26642.35,26767.9,26612.25,26765.35,Short
16465,2018-07-09 13:15:00,26764.75,26780.7,26729.6,26740.75,Short
16466,2018-07-09 17:15:00,,,,,Short
16467,2018-07-09 21:15:00,,,,,Short
16468,2018-07-10 01:15:00,,,,,Short
16469,2018-07-10 05:15:00,,,,,Short
16470,2018-07-10 09:15:00,26844.55,26931.5,26781.35,26876.25,Short
16471,2018-07-10 13:15:00,26876.1,26938.8,26855.05,26892.3,Short
16472,2018-07-10 17:15:00,,,,,Short
16473,2018-07-10 21:15:00,,,,,Short
16474,2018-07-11 01:15:00,,,,,Short
16475,2018-07-11 05:15:00,,,,,Short
16476,2018-07-11 09:15:00,26900.65,26938.2,26780.8,26819.9,Short
16477,2018-07-11 13:15:00,26819.7,26858.1,26775.3,26814.5,Short
16478,2018-07-11 17:15:00,,,,,Short
16479,2018-07-11 21:15:00,,,,,Short
16480,2018-07-12 01:15:00,,,,,Short
16481,2018-07-12 05:15:00,,,,,Short
16482,2018-07-12 09:15:00,26937.5,27163.9,26937.5,27098.55,Short
16483,2018-07-12 13:15:00,27099.05,27112.55,26967.3,26972.85,Short
16484,2018-07-12 17:15:00,,,,,Short
16485,2018-07-12 21:15:00,,,,,Short
16486,2018-07-13 01:15:00,,,,,Short
16487,2018-07-13 05:15:00,,,,,Short
16488,2018-07-13 09:15:00,27046.85,27100.9,26932.45,26986.55,Short
16489,2018-07-13 13:15:00,26987.05,26995.05,26902.3,26950.7,Short
16490,2018-07-13 17:15:00,,,,,Short
16491,2018-07-13 21:15:00,,,,,Short
16492,2018-07-14 01:15:00,,,,,Short
16493,2018-07-14 05:15:00,,,,,Short
16494,2018-07-14 09:15:00,,,,,Short
16495,2018-07-14 13:15:00,,,,,Short
16496,2018-07-14 17:15:00,,,,,Short
16497,2018-07-14 21:15:00,,,,,Short
16498,2018-07-15 01:15:00,,,,,Short
16499,2018-07-15 05:15:00,,,,,Short
16500,2018-07-15 09:15:00,,,,,Short
16501,2018-07-15 13:15:00,,,,,Short
16502,2018-07-15 17:15:00,,,,,Short
16503,2018-07-15 21:15:00,,,,,Short
16504,2018-07-16 01:15:00,,,,,Short
16505,2018-07-16 05:15:00,,,,,Short
16506,2018-07-16 09:15:00,26914.5,26919.55,26715.75,26749.15,Short
16507,2018-07-16 13:15:00,26748.75,26763.1,26648.1,26652.9,Short
16508,2018-07-16 17:15:00,,,,,Short
16509,2018-07-16 21:15:00,,,,,Short
16510,2018-07-17 01:15:00,,,,,Short
16511,2018-07-17 05:15:00,,,,,Short
16512,2018-07-17 09:15:00,26662.85,26820.3,26662.85,26813.15,Short
16513,2018-07-17 13:15:00,26812.7,27040.5,26799.0,27015.15,Short
16514,2018-07-17 17:15:00,,,,,Short
16515,2018-07-17 21:15:00,,,,,Short
16516,2018-07-18 01:15:00,,,,,Short
16517,2018-07-18 05:15:00,,,,,Short
16518,2018-07-18 09:15:00,27107.35,27187.0,26870.6,27023.2,Short
16519,2018-07-18 13:15:00,27021.05,27029.55,26835.9,26912.3,Short
16520,2018-07-18 17:15:00,,,,,Short
16521,2018-07-18 21:15:00,,,,,Short
16522,2018-07-19 01:15:00,,,,,Short
16523,2018-07-19 05:15:00,,,,,Short
16524,2018-07-19 09:15:00,26960.2,27024.8,26801.05,26921.25,Short
16525,2018-07-19 13:15:00,26920.5,26922.65,26730.4,26796.95,Short
16526,2018-07-19 17:15:00,,,,,Short
16527,2018-07-19 21:15:00,,,,,Short
16528,2018-07-20 01:15:00,,,,,Short
16529,2018-07-20 05:15:00,,,,,Short
16530,2018-07-20 09:15:00,26764.4,26888.4,26719.15,26835.4,Short
16531,2018-07-20 13:15:00,26834.95,26945.75,26780.1,26872.1,Short
16532,2018-07-20 17:15:00,,,,,Short
16533,2018-07-20 21:15:00,,,,,Short
16534,2018-07-21 01:15:00,,,,,Short
16535,2018-07-21 05:15:00,,,,,Short
16536,2018-07-21 09:15:00,,,,,Short
16537,2018-07-21 13:15:00,,,,,Short
16538,2018-07-21 17:15:00,,,,,Short
16539,2018-07-21 21:15:00,,,,,Short
16540,2018-07-22 01:15:00,,,,,Short
16541,2018-07-22 05:15:00,,,,,Short
16542,2018-07-22 09:15:00,,,,,Short
16543,2018-07-22 13:15:00,,,,,Short
16544,2018-07-22 17:15:00,,,,,Short
16545,2018-07-22 21:15:00,,,,,Short
16546,2018-07-23 01:15:00,,,,,Short
16547,2018-07-23 05:15:00,,,,,Short
16548,2018-07-23 09:15:00,26701.3,26926.1,26701.3,26855.15,Short
16549,2018-07-23 13:15:00,26855.15,27039.45,26839.5,27005.2,Short
16550,2018-07-23 17:15:00,,,,,Short
16551,2018-07-23 21:15:00,,,,,Short
16552,2018-07-24 01:15:00,,,,,Short
16553,2018-07-24 05:15:00,,,,,Short
16554,2018-07-24 09:15:00,26984.15,27126.35,26868.75,26925.6,Short
16555,2018-07-24 13:15:00,26925.65,27028.5,26906.85,26968.9,Short
16556,2018-07-24 17:15:00,,,,,Short
16557,2018-07-24 21:15:00,,,,,Short
16558,2018-07-25 01:15:00,,,,,Short
16559,2018-07-25 05:15:00,,,,,Short
16560,2018-07-25 09:15:00,26992.55,27068.45,26939.6,27034.35,Short
16561,2018-07-25 13:15:00,27034.1,27068.6,26997.4,27017.75,Short
16562,2018-07-25 17:15:00,,,,,Short
16563,2018-07-25 21:15:00,,,,,Short
16564,2018-07-26 01:15:00,,,,,Short
16565,2018-07-26 05:15:00,,,,,Short
16566,2018-07-26 09:15:00,27054.7,27356.95,27046.2,27335.65,Short
16567,2018-07-26 13:15:00,27334.85,27446.65,27246.3,27421.95,Short
16568,2018-07-26 17:15:00,,,,,Short
16569,2018-07-26 21:15:00,,,,,Short
16570,2018-07-27 01:15:00,,,,,Short
16571,2018-07-27 05:15:00,,,,,Short
16572,2018-07-27 09:15:00,27497.8,27636.0,27457.6,27554.4,Short
16573,2018-07-27 13:15:00,27553.25,27660.05,27541.2,27631.45,Short
16574,2018-07-27 17:15:00,,,,,Short
16575,2018-07-27 21:15:00,,,,,Short
16576,2018-07-28 01:15:00,,,,,Short
16577,2018-07-28 05:15:00,,,,,Short
16578,2018-07-28 09:15:00,,,,,Short
16579,2018-07-28 13:15:00,,,,,Short
16580,2018-07-28 17:15:00,,,,,Short
16581,2018-07-28 21:15:00,,,,,Short
16582,2018-07-29 01:15:00,,,,,Short
16583,2018-07-29 05:15:00,,,,,Short
